Part,Value,Package
C1,10u/10V,A/3216-18R
C2,22u/20V,C/6032-28R
C3,100n,C0603K
C4,1u,C0603K
C5,100n,C0603K
C6,22u/6.3V,A/3216-18R
C7,100n,C0603K
C8,100n,C0603K
C9,2.2u,C0805
C10,2.2u,C0805
C11,22p,C0603K
C12,22p,C0603K
C13,100n,C0603K
C14,100n,C0603K
C15,100n,C0603K
C16,100n,C0603K
CON1,USBC,CUI_UJC-HP-3-SMT-TR
CON2,DC-005,NINIGI_DC-005
CON3,LCD-TFT,goldpin 1X08
CON4,ST-LINK,goldpin 1X05
CON5,TEST,goldpin 1X08
CON6,BME680,goldpin 1X06
D1,Schottky,SMA
D2,Schottky,SMB
JP1,VOLTAGE_SWITCH,goldpin 1X03
JP2,AMMETER CON,goldpin 1X02
L1,10u,L2012C
LED1,,LED 1206
R1,5.1k,R0805
R2,5.1k,R0805
R3,5.1k,R0805
R4,1k,R0805
R5,3k,R0805
R6,0R,R0805
R7,10k,R0805
R8,10k,R0805
R9,10k,R0805
R10,10k,R0805
R11,10k,R0805
R12,10k,R0805
R13,10k,R0805
S1,BUTTON0,microswitch 4 pins
S2,BUTTON1,microswitch 4 pins
S3,BUTTON2,microswitch 4 pins
S4,RST,microswitch 4 pins
T1,2N7002,SOT95
T2,2N7002,SOT95
T3,2N7002,SOT95
T4,2N7002,SOT95
U1,LDI1117-3.3U,SOT89
U2,STM32L010F4P6,TSSOP20
X1,RT3215-32.768,XTAL_RT3215-32.768